title,description,department
Unable to download purchase history [TKT-5151],Customer is trying to download their complete purchase history as a PDF for tax purposes but the download button is not functioning.,Customer Support
Cross-platform file compatibility issue [TKT-5400],A document created on a Mac is displaying formatting errors when opened on Windows. The issue is affecting collaboration between Mac and PC users.,IT Support
Internship offer letter issuance [TKT-5455],"Eight selected interns for the summer program need to receive formal offer letters with internship terms, stipend details and joining instructions.",HR
Production line downtime report [TKT-5129],Production line B has experienced 14 hours of unplanned downtime this week due to recurring equipment issues. Root cause analysis is needed urgently.,Operations
Support agent gave incorrect information [TKT-5385],Customer followed advice given by a support agent which resulted in their order being cancelled incorrectly. Requesting reinstatement and compensation.,Customer Support
App not available in customer's region [TKT-5370],Customer downloaded the app but is getting a message saying the service is not available in their country even though the website says it is.,Customer Support
Quarterly goals review and reset [TKT-5304],Mid-year review shows some departmental goals are no longer achievable due to market changes. Requesting management approval to reset two specific team targets.,Manager
Attrition rate increase investigation [TKT-5341],Attrition in the technology department has increased to 28 percent in the last 6 months. HR is initiating an investigation including exit interview analysis.,HR
Support agent gave incorrect information [TKT-5145],Customer followed advice given by a support agent which resulted in their order being cancelled incorrectly. Requesting reinstatement and compensation.,Customer Support
Cold storage temperature alarm [TKT-5563],The cold storage unit for perishable inventory triggered a temperature alarm overnight. Stock may be compromised. Immediate assessment is needed.,Operations
Safety incident near miss report [TKT-5130],A near-miss safety incident occurred in the warehouse when a stack of goods nearly fell on a worker. Formal incident report and safety review required.,Operations
Change management support request [TKT-5328],A major process change is being implemented in the department. Manager is requesting HR and senior leadership support for the change management communication.,Manager
Medical reimbursement documents rejected,Employee's medical reimbursement claim was rejected citing incomplete documentation even though all required documents listed in the policy were submitted.,Finance
Competency framework rollout [TKT-5529],HR is rolling out a new competency framework across the organization and needs department heads to map their team roles to the new competency levels.,HR
Payroll cut-off date reminder [TKT-5292],"HR is reminding all managers that any salary-related changes including promotions, transfers and terminations must be submitted before the payroll cut-off date.",HR
API access token expired [TKT-5331],A developer's API access token for an internal service has expired. Requests are returning 401 unauthorized errors and token renewal process is unclear.,IT Support
Helpdesk knowledge base update needed [TKT-5356],Many IT helpdesk articles are outdated following recent system upgrades. The knowledge base needs to be reviewed and updated to reflect current procedures.,IT Support
Regional office closure decision [TKT-5587],Declining business in one regional office makes it economically unviable to continue operating. Manager is presenting closure options and financial implications.,Manager
Product stopped working after 2 days [TKT-5204],A newly purchased electronic item functioned for two days and then stopped working completely. No physical damage and used as per instructions.,Customer Support
System admin access request for audit [TKT-5427],External auditors need temporary read-only access to specific system administration functions for their IT audit next week. Request requires management approval.,IT Support
